Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[Instituce],1,4,Paum_pos,Key,a,20121210_172132,185,1,16,1,0.9158415841584159,0.9893048128342246,0.9511568123393317,0.9562982005141388,0.9537275064267352,-1,-1,48553,2589
[Instituce],1,5,Paum_pos,Key,a,20121210_172132,183,5,23,2,0.8798076923076923,0.9631578947368421,0.9195979899497487,0.9296482412060302,0.9246231155778895,-1,-1,46447,3745
[Instituce],1,6,Paum_pos,Key,a,20121210_172132,261,12,23,0,0.9190140845070423,0.9560439560439561,0.9371633752244166,0.9371633752244166,0.9371633752244166,-1,-1,47490,3338
[Instituce],1,7,Paum_pos,Key,a,20121210_172132,183,1,18,3,0.8970588235294118,0.9786096256684492,0.9360613810741688,0.9514066496163683,0.9437340153452686,-1,-1,47878,2981
[Instituce],1,8,Paum_pos,Key,a,20121210_172132,321,8,22,2,0.9304347826086956,0.9697885196374623,0.9497041420118343,0.9556213017751479,0.9526627218934911,-1,-1,43405,5415
[Instituce],1,9,Paum_pos,Key,a,20121210_172132,257,16,36,4,0.8653198653198653,0.927797833935018,0.8954703832752612,0.9094076655052264,0.9024390243902438,-1,-1,47649,4306
[Instituce],1,10,Paum_pos,Key,a,20121210_172132,375,10,57,6,0.8561643835616438,0.959079283887468,0.9047044632086851,0.9191797346200241,0.9119420989143546,-1,-1,41967,6537
[Instituce],1,1,Paum,Key,a,20121210_172132,235,11,10,3,0.9475806451612904,0.9437751004016064,0.9456740442655936,0.9577464788732394,0.9517102615694165,-1,-1,30079,2232
[Instituce],1,2,Paum,Key,a,20121210_172132,158,4,30,0,0.8404255319148937,0.9753086419753086,0.9028571428571429,0.9028571428571429,0.9028571428571429,-1,-1,30650,1794
[Instituce],1,3,Paum,Key,a,20121210_172132,224,12,14,8,0.9105691056910569,0.9180327868852459,0.9142857142857143,0.946938775510204,0.9306122448979591,-1,-1,29617,2575
[Instituce],1,4,Paum,Key,a,20121210_172132,185,0,14,2,0.9203980099502488,0.9893048128342246,0.9536082474226805,0.9639175257731958,0.9587628865979381,-1,-1,30672,1796
[Instituce],1,5,Paum,Key,a,20121210_172132,186,4,21,0,0.8985507246376812,0.9789473684210527,0.9370277078085643,0.9370277078085643,0.9370277078085643,-1,-1,30531,2776
[Instituce],1,6,Paum,Key,a,20121210_172132,264,9,24,0,0.9166666666666666,0.967032967032967,0.9411764705882353,0.9411764705882353,0.9411764705882353,-1,-1,30641,2309
[Instituce],1,7,Paum,Key,a,20121210_172132,182,2,16,3,0.9054726368159204,0.9732620320855615,0.9381443298969072,0.9536082474226805,0.9458762886597938,-1,-1,30219,2029
[Instituce],1,8,Paum,Key,a,20121210_172132,321,8,23,2,0.9277456647398844,0.9697885196374623,0.948301329394387,0.9542097488921714,0.9512555391432792,-1,-1,27770,3618
[Instituce],1,9,Paum,Key,a,20121210_172132,259,12,32,6,0.8720538720538721,0.9350180505415162,0.9024390243902439,0.9233449477351917,0.9128919860627178,-1,-1,28597,2902
[Instituce],1,10,Paum,Key,a,20121210_172132,377,8,60,6,0.8510158013544018,0.9641943734015346,0.9040767386091128,0.9184652278177459,0.9112709832134294,-1,-1,26539,4570
[Instituce],1,1,Paum_small,Key,a,20121210_172132,233,12,10,4,0.9433198380566802,0.9357429718875502,0.9395161290322581,0.9556451612903225,0.9475806451612903,-1,-1,23496,1686
[Instituce],1,2,Paum_small,Key,a,20121210_172132,157,3,29,2,0.8351063829787234,0.9691358024691358,0.8971428571428571,0.9085714285714287,0.9028571428571429,-1,-1,24167,1327
[Instituce],1,3,Paum_small,Key,a,20121210_172132,225,13,15,6,0.9146341463414634,0.9221311475409836,0.9183673469387755,0.9428571428571428,0.9306122448979592,-1,-1,24448,2028
[Instituce],1,4,Paum_small,Key,a,20121210_172132,184,1,13,2,0.9246231155778895,0.983957219251337,0.9533678756476685,0.9637305699481865,0.9585492227979275,-1,-1,27006,1404
[Instituce],1,5,Paum_small,Key,a,20121210_172132,183,4,21,3,0.8840579710144928,0.9631578947368421,0.9219143576826196,0.9370277078085643,0.929471032745592,-1,-1,24981,2170
[Instituce],1,6,Paum_small,Key,a,20121210_172132,264,8,23,1,0.9166666666666666,0.967032967032967,0.9411764705882353,0.9447415329768271,0.9429590017825311,-1,-1,23514,1857
[Instituce],1,7,Paum_small,Key,a,20121210_172132,178,3,17,6,0.8855721393034826,0.9518716577540107,0.9175257731958764,0.9484536082474226,0.9329896907216495,-1,-1,24059,1574
[Instituce],1,8,Paum_small,Key,a,20121210_172132,318,11,25,2,0.9217391304347826,0.9607250755287009,0.9408284023668639,0.9467455621301775,0.9437869822485208,-1,-1,22311,2950
[Instituce],1,9,Paum_small,Key,a,20121210_172132,255,14,34,8,0.8585858585858586,0.9205776173285198,0.8885017421602788,0.916376306620209,0.9024390243902438,-1,-1,22654,2280
[Instituce],1,10,Paum_small,Key,a,20121210_172132,377,13,55,1,0.8706697459584296,0.9641943734015346,0.9150485436893204,0.91747572815534,0.9162621359223302,-1,-1,20924,3652
[Plne_zneni],2,1,Paum_afun,Key,a,20121210_174658,0,2,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,44978,3881
[Plne_zneni],2,2,Paum_afun,Key,a,20121210_174658,0,0,1,0,0.0,1.0,0.0,0.0,0.0,-1,-1,44435,4384
[Plne_zneni],2,3,Paum_afun,Key,a,20121210_174658,1,2,0,0,1.0,0.3333333333333333,0.5,0.5,0.5,-1,-1,44171,4679
[Plne_zneni],2,4,Paum_afun,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,46763,2824
[Plne_zneni],2,5,Paum_afun,Key,a,20121210_174658,0,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,45914,3289
[Plne_zneni],2,6,Paum_afun,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,45617,3354
[Plne_zneni],2,7,Paum_afun,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,46305,3010
[Plne_zneni],2,8,Paum_afun,Key,a,20121210_174658,0,4,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,43208,5507
[Plne_zneni],2,9,Paum_afun,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,45238,4430
[Plne_zneni],2,10,Paum_afun,Key,a,20121210_174658,0,1,1,0,0.0,0.0,0.0,0.0,0.0,-1,-1,45573,3807
[Plne_zneni],2,1,Paum_small,Key,a,20121210_174658,0,2,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,21445,1999
[Plne_zneni],2,2,Paum_small,Key,a,20121210_174658,0,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,21158,2248
[Plne_zneni],2,3,Paum_small,Key,a,20121210_174658,1,2,0,0,1.0,0.3333333333333333,0.5,0.5,0.5,-1,-1,21038,2404
[Plne_zneni],2,4,Paum_small,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,21984,1434
[Plne_zneni],2,5,Paum_small,Key,a,20121210_174658,0,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,21765,1656
[Plne_zneni],2,6,Paum_small,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,21786,1764
[Plne_zneni],2,7,Paum_small,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,21938,1499
[Plne_zneni],2,8,Paum_small,Key,a,20121210_174658,0,4,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,20693,2734
[Plne_zneni],2,9,Paum_small,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,26757,2278
[Plne_zneni],2,10,Paum_small,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,22359,1969
[Plne_zneni],2,1,Paum,Key,a,20121210_174658,0,2,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,27226,2497
[Plne_zneni],2,2,Paum,Key,a,20121210_174658,0,0,1,0,0.0,1.0,0.0,0.0,0.0,-1,-1,26725,2823
[Plne_zneni],2,3,Paum,Key,a,20121210_174658,1,2,0,0,1.0,0.3333333333333333,0.5,0.5,0.5,-1,-1,26225,3057
[Plne_zneni],2,4,Paum,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,28428,1873
[Plne_zneni],2,5,Paum,Key,a,20121210_174658,0,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,27349,2154
[Plne_zneni],2,6,Paum,Key,a,20121210_174658,0,1,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,27256,2230
[Plne_zneni],2,7,Paum,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,28130,1951
[Plne_zneni],2,8,Paum,Key,a,20121210_174658,0,4,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,25853,3604
[Plne_zneni],2,9,Paum,Key,a,20121210_174658,0,3,0,0,1.0,0.0,0.0,0.0,0.0,-1,-1,32870,2855
[Plne_zneni],2,10,Paum,Key,a,20121210_174658,0,1,1,0,0.0,0.0,0.0,0.0,0.0,-1,-1,26875,2494
